Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,61,54.11,45,55,54,0.9672200000000006
1,65,56.72,50,56,58,0.9330480000000032
2,66,59.21,52,60,61,0.8623960000000112
3,68,61.95,53,61,63,0.7747560000000122
4,68,64.06,59,61,64,0.6808800000000013
5,70,65.44,61,65,65,0.6109599999999971
6,71,66.5,62,67,69,0.5959199999999923
7,73,68.01,60,68,67,0.5665559999999948
8,74,69.69,66,69,70,0.5178519999999961
9,74,71.09,67,71,72,0.4486760000000009
10,77,72.28,68,73,72,0.3711679999999994
11,77,73.3,70,73,74,0.3154480000000003
12,78,74.73,71,73,75,0.2646200000000006
13,78,76.1,73,75,76,0.2207439999999985
14,80,77.1,74,78,78,0.19379199999999927
15,80,77.91,76,78,78,0.16701200000000146
16,81,78.46,77,79,79,0.14580000000000126
17,82,79.08,76,79,79,0.11532000000000114
18,82,79.82,77,79,79,0.09220800000000186
19,82,80.52,79,80,80,0.0586400000000006
20,82,81.24,80,80,81,0.034208000000000516
21,83,81.73,80,82,82,0.02655600000000067
22,83,81.97,81,82,82,0.01986800000000034
23,83,82.05,82,82,82,0.018524000000000502
24,83,82.1,81,82,82,0.01780800000000015
25,83,82.29,81,83,83,0.016835999999999986
26,83,82.58,81,82,83,0.01505600000000043
27,83,82.92,82,83,83,0.00820799999999996
28,83,83,83,83,83,0.0023279999999999855
29,83,82.99,82,83,83,0.002723999999999977
30,83,83,83,83,83,7.920000000000005E-4
31,83,82.99,82,83,83,0.0027239999999999773
32,83,83,83,83,83,0.00451199999999994
33,83,83,83,83,83,7.920000000000005E-4
34,83,82.99,82,83,83,0.0011879999999999972
35,83,83,83,83,83,7.920000000000005E-4
36,83,83,83,83,83,0
37,83,83,83,83,83,0
38,83,83,83,83,83,0
39,83,83,83,83,83,0
40,83,82.99,82,83,83,3.9600000000000025E-4
41,83,82.99,82,83,83,3.9600000000000025E-4
42,83,83,83,83,83,0
43,83,82.99,82,83,83,3.9600000000000025E-4
44,84,83.01,83,83,83,3.9600000000000025E-4
45,84,83.02,83,83,83,7.840000000000006E-4
46,84,83.07,83,83,83,0.0026039999999999622
47,84,83.19,82,84,83,0.006795999999999941
48,84,83.48,83,84,84,0.00998400000000044
49,84,83.84,83,83,84,0.005375999999999903
50,84,83.98,83,84,84,7.920000000000006E-4
51,84,83.99,83,84,84,3.9600000000000025E-4
52,85,84.01,84,84,84,3.9600000000000025E-4
53,85,84.06,84,84,84,0.00225599999999997
54,85,84.16,83,84,84,0.006167999999999889
55,85,84.4,84,85,84,0.010208000000000442
56,85,84.71,84,85,85,0.010876000000000365
57,85,84.96,84,85,85,0.007255999999999891
58,85,85,85,85,85,0.007199999999999882
59,85,85,85,85,85,0.00451199999999994
60,86,84.99,84,85,85,0.004987999999999931
61,86,85.04,84,86,85,0.006095999999999904
62,87,85.14,85,85,85,0.007247999999999908
63,87,85.42,85,85,86,0.016679999999999997
64,87,85.99,84,86,86,0.028348000000000474
65,87,86.47,85,86,87,0.034380000000001014
66,88,86.88,86,87,87,0.023312000000000454
67,88,87.07,86,87,87,0.01852400000000019
68,89,87.2,86,87,88,0.019680000000000163
69,89,87.51,87,87,87,0.019955999999999988
70,89,87.93,87,88,88,0.020164000000000362
71,89,88.21,87,88,88,0.021084000000000477
72,90,88.59,87,89,88,0.025804000000000507
73,90,89.07,88,88,89,0.024868000000000588
74,90,89.49,89,90,90,0.016348000000000102
75,90,89.85,88,89,90,0.0056359999999999015
76,90,90,90,90,90,0
77,90,89.97,89,90,90,0.0011799999999999925
78,90,89.99,89,90,90,3.9600000000000025E-4
79,91,89.99,89,90,90,0.0011879999999999927
80,91,90.04,90,90,90,0.0015359999999999849
81,91,90.13,89,90,90,0.005211999999999908
82,91,90.42,89,91,90,0.010200000000000426
83,91,90.86,90,91,91,0.004919999999999915
84,91,90.98,90,91,91,7.920000000000006E-4
85,91,90.99,90,91,91,3.9600000000000025E-4
86,91,91,91,91,91,0
87,91,90.99,90,91,91,3.9600000000000025E-4
88,91,90.96,90,91,91,0.0015839999999999847
89,91,90.99,90,91,91,3.9600000000000025E-4
90,91,91,91,91,91,0
91,91,91,91,91,91,0
92,91,90.98,90,91,91,7.920000000000006E-4
93,91,90.99,90,91,91,3.9600000000000025E-4
94,91,91,91,91,91,0
95,91,90.97,90,91,91,0.0011879999999999924
96,91,90.99,90,91,91,3.9600000000000025E-4
97,91,90.98,90,91,91,7.920000000000006E-4
98,91,90.99,90,91,91,3.9600000000000025E-4
99,91,91,91,91,91,0
100,91,90.99,90,91,91,3.9600000000000025E-4
101,91,91,91,91,91,0
102,91,91,91,91,91,0
