Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,2,0.16,0,0,0,0.0030769230769230787
1,4,0.24,0,0,0,0.0044871794871794895
2,4,0.88,0,0,0,0.013846153846153854
3,4,1.76,0,2,4,0.013461538461538457
4,6,3.04,0,2,4,0.018974358974358913
5,6,3.92,2,4,4,0.022564102564102493
6,8,4.96,2,4,4,0.038205128205128044
7,12,6.32,2,6,6,0.054743589743589546
8,12,7.6,2,8,8,0.06769230769230755
9,12,9.28,6,8,12,0.06076923076923057
10,12,10.8,8,10,10,0.05564102564102556
11,14,12,10,12,12,0.04217948717948709
12,16,12.72,12,14,14,0.05423076923076918
13,18,14.64,12,14,16,0.07358974358974352
14,18,16.08,14,16,16,0.06628205128205117
15,18,16.8,16,18,16,0.06179487179487168
16,20,17.76,16,18,18,0.046153846153846066
17,22,18.4,16,18,18,0.0652564102564101
18,24,20.16,18,18,20,0.0784615384615384
19,24,21.6,18,22,22,0.08999999999999983
20,26,22.56,20,24,22,0.10666666666666653
21,26,23.6,22,24,22,0.10166666666666643
22,30,25.12,22,26,26,0.09756410256410238
23,30,27.28,24,26,28,0.08358974358974343
24,32,29.44,26,28,30,0.053076923076922904
25,34,31.28,30,30,32,0.04358974358974348
26,34,32.32,30,32,32,0.0610256410256409
27,34,33.52,32,34,32,0.059487179487179326
28,36,34.24,32,34,34,0.06333333333333316
29,38,34.96,32,36,34,0.06717948717948705
30,42,36.48,32,38,36,0.07166666666666659
31,44,38.96,32,42,38,0.06512820512820494
32,44,41.76,38,42,44,0.04615384615384605
33,46,43.44,40,42,44,0.03115384615384608
34,48,44.72,44,44,44,0.04410256410256409
35,48,45.2,40,44,46,0.048717948717948587
36,48,46.08,42,46,46,0.055769230769230585
37,48,46.88,46,48,46,0.0558974358974358
38,50,47.6,46,48,46,0.04371794871794865
39,50,48.32,48,48,48,0.03717948717948708
40,50,48.88,46,50,50,0.033205128205128075
41,52,49.84,48,48,50,0.041153846153845965
42,52,50.64,48,50,50,0.05153846153846139
43,54,51.76,50,52,52,0.05166666666666659
44,54,52.48,50,52,52,0.043717948717948575
45,56,53.44,52,54,54,0.05346153846153836
46,56,54.64,52,54,54,0.045769230769230555
47,58,55.84,54,56,54,0.036153846153846037
48,58,56.32,56,56,56,0.030256410256410175
49,58,56.96,56,56,58,0.029358974358974298
50,60,58,56,58,58,0.030897435897435807
51,60,58.32,56,58,60,0.03294871794871789
52,60,59.04,58,60,58,0.03294871794871781
53,62,59.6,58,60,58,0.03820512820512804
54,62,60.16,58,60,60,0.042435897435897305
55,62,60.96,60,62,60,0.04294871794871787
56,64,61.92,58,62,62,0.03641025641025625
57,64,62.32,60,62,62,0.035128205128205
58,64,63.04,60,64,62,0.03448717948717929
59,66,64,62,64,64,0.041410256410256266
60,68,64.4,62,64,66,0.04653846153846146
61,68,65.36,64,64,66,0.05102564102564096
62,68,66.56,66,66,66,0.054743589743589706
63,70,67.76,66,66,68,0.054743589743589616
64,70,68.64,66,70,68,0.07423076923076938
65,72,70.16,68,70,70,0.0771794871794872
66,74,70.8,68,72,70,0.09064102564102555
67,76,72.48,70,72,72,0.0907692307692309
68,76,73.68,72,74,76,0.07512820512820516
69,78,75.04,72,74,76,0.04179487179487167
70,78,76.24,74,74,78,0.04923076923076911
71,80,77.44,74,76,78,0.040769230769230634
72,80,78.88,76,78,78,0.024487179487179406
73,82,79.84,78,80,80,0.02897435897435887
74,82,80.32,78,80,82,0.02371794871794863
75,82,81.52,80,82,82,0.018717948717948667
76,84,82,80,82,82,0.01461538461538462
77,84,82.24,78,82,84,0.01999999999999993
78,86,83.44,82,84,84,0.011923076923076932
79,88,84.64,82,84,84,0.012692307692307702
80,88,85.44,84,86,86,0.01730769230769225
81,88,86.4,84,88,86,0.01615384615384613
82,88,86.8,86,88,88,0.02525641025641017
83,90,87.28,86,86,88,0.03089743589743577
84,90,88.08,86,88,88,0.028846153846153754
85,90,88.8,86,88,90,0.03871794871794866
86,92,89.36,86,88,90,0.04820512820512815
87,92,90.4,90,90,92,0.04717948717948707
88,92,90.96,90,90,92,0.050897435897435776
89,94,91.44,86,90,92,0.04653846153846132
90,96,92.56,90,92,92,0.03948717948717937
91,98,94.08,92,94,94,0.03525641025641012
92,98,95.36,92,94,96,0.038846153846153704
93,100,97.28,94,96,98,0.05012820512820491
