Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,2,0.08,0,0,0,0.001538461538461539
1,2,0.24,0,0,0,0.004230769230769233
2,2,0.72,0,0,2,0.011153846153846162
3,4,1.68,0,2,2,0.020128205128205068
4,6,2.56,0,2,2,0.02102564102564096
5,6,3.76,2,4,4,0.028076923076922968
6,8,5.52,4,6,6,0.03384615384615375
7,8,6.72,4,6,8,0.03858974358974349
8,10,7.84,6,8,8,0.042692307692307536
9,12,8.56,8,8,8,0.04987179487179475
10,12,9.52,8,12,8,0.05987179487179478
11,14,10.64,8,10,8,0.06269230769230758
12,14,11.84,10,10,10,0.054230769230769055
13,16,13.12,10,14,12,0.03948717948717941
14,18,14.72,12,14,12,0.04833333333333323
15,18,16,14,16,16,0.03615384615384608
16,18,16.72,14,16,18,0.05692307692307688
17,18,17.68,16,18,18,0.06576923076923069
18,20,18.32,18,18,18,0.07025641025641015
19,20,18.8,18,18,20,0.05589743589743581
20,22,19.76,18,20,20,0.055641025641025514
21,26,20.64,16,20,20,0.056025641025640845
22,28,22.48,20,22,20,0.10974358974358973
23,28,24.32,20,24,22,0.09948717948717954
24,30,27.04,24,28,26,0.028974358974358915
25,30,28.32,26,30,26,0.03435897435897427
26,32,29.6,28,30,30,0.033589743589743495
27,32,30.48,28,30,30,0.035128205128205046
28,36,31.2,28,32,32,0.036410256410256275
29,36,32.8,30,32,36,0.040256410256410136
30,38,34.56,32,36,32,0.04910256410256399
31,40,36.56,34,36,36,0.027820512820512733
32,40,37.84,36,38,38,0.036282051282051114
33,42,38.8,36,40,38,0.05499999999999984
34,44,39.84,32,42,42,0.05487179487179467
35,46,41.92,36,40,38,0.06897435897435887
36,46,43.84,40,42,44,0.06384615384615375
37,46,44.64,44,44,44,0.05076923076923069
38,48,45.44,44,44,46,0.053717948717948674
39,48,46.56,46,46,46,0.054871794871794694
40,50,47.68,44,48,48,0.05961538461538458
41,50,48.64,46,48,48,0.027692307692307586
42,52,49.92,48,50,50,0.027051282051282044
43,52,50.32,48,52,50,0.028846153846153782
44,52,51.28,50,50,52,0.039871794871794715
45,56,52,50,52,52,0.03679487179487163
46,56,52.56,50,52,52,0.03717948717948707
47,56,54.08,52,54,54,0.0525641025641024
48,58,55.04,52,54,56,0.05051282051282035
49,60,56.48,54,58,58,0.05833333333333309
50,60,57.52,56,56,58,0.060512820512820385
51,62,58.64,56,60,58,0.05551282051282042
52,66,60.24,56,62,60,0.0757692307692306
53,66,61.52,56,62,66,0.08115384615384603
54,68,63.36,60,62,66,0.08282051282051266
55,70,65.44,62,62,66,0.07666666666666652
56,70,67.04,64,66,68,0.04217948717948709
57,70,68.48,64,68,68,0.019999999999999952
58,72,69.76,68,70,70,0.02333333333333327
59,72,70.32,70,70,70,0.029871794871794782
60,74,70.64,68,70,70,0.03820512820512817
61,74,71.52,70,74,70,0.038717948717948654
62,76,72.88,72,72,72,0.019102564102564043
63,76,73.92,70,74,72,0.02384615384615376
64,78,74.8,72,74,76,0.025256410256410185
65,78,75.84,74,74,76,0.029230769230769147
66,78,76.56,76,76,76,0.022692307692307626
67,78,77.36,76,78,76,0.02769230769230762
68,80,77.92,76,78,78,0.01987179487179483
69,80,78.08,76,78,78,0.019999999999999952
70,80,78.72,76,78,78,0.02089743589743584
71,82,79.92,78,80,80,0.026025641025640988
72,82,80.48,80,82,80,0.031153846153846015
73,84,81.36,80,80,80,0.040512820512820416
74,84,82.16,80,82,82,0.05179487179487175
75,84,82.8,82,84,82,0.04846153846153846
76,86,83.76,82,84,84,0.042051282051281995
77,88,84.72,84,84,84,0.042307692307692234
78,88,85.68,82,88,86,0.0507692307692307
79,88,86.64,86,86,86,0.052179487179487095
80,90,87.36,84,88,88,0.05589743589743574
81,90,88.08,86,88,88,0.048589743589743516
82,92,89.12,88,88,88,0.048974358974358895
83,92,90,88,90,88,0.058205128205127986
84,92,90.32,88,92,90,0.05564102564102555
85,94,91.44,88,90,92,0.06782051282051257
86,96,92.72,90,92,94,0.06487179487179472
87,96,94.08,92,94,94,0.07846153846153835
88,96,95.04,92,96,94,0.06320512820512811
89,98,96,94,96,96,0.03923076923076918
90,98,96.4,94,96,96,0.030769230769230622
91,98,97.68,96,96,98,0.03666666666666649
92,100,98,96,98,98,0.0437179487179486
