Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,0,0,0,0,0,0
1,2,0.16,0,0,0,0.0030769230769230787
2,2,0.32,0,0,0,0.006153846153846158
3,4,0.88,0,0,0,0.015512820512820484
4,6,1.76,0,0,2,0.027051282051281975
5,6,2.48,0,2,2,0.03128205128205114
6,6,3.44,2,4,4,0.04205128205128194
7,6,4.56,2,4,6,0.05230769230769214
8,8,5.76,4,6,6,0.06243589743589727
9,10,6.56,4,6,6,0.0689743589743589
10,10,7.52,6,8,10,0.07512820512820506
11,12,8.56,6,10,8,0.07756410256410241
12,12,9.6,8,10,10,0.07333333333333321
13,14,10.88,8,10,10,0.03679487179487166
14,14,12.8,10,12,12,0.052692307692307615
15,16,14,12,14,14,0.06858974358974343
16,18,14.96,14,16,14,0.06397435897435882
17,18,15.92,14,16,14,0.08756410256410249
18,22,17.04,16,16,16,0.08256410256410254
19,24,18.88,14,18,22,0.06794871794871772
20,26,20.8,16,20,22,0.06717948717948699
21,26,23.44,20,24,22,0.040769230769230606
22,28,25.28,22,26,24,0.03705128205128185
23,28,26.16,24,28,26,0.025256410256410178
24,28,26.72,24,26,28,0.01923076923076917
25,28,27.44,26,28,26,0.014743589743589726
26,30,28.24,28,28,28,0.01538461538461537
27,32,28.88,26,28,30,0.029487179487179372
28,34,30.16,28,30,30,0.04089743589743577
29,34,31.6,28,32,32,0.04230769230769217
30,34,32.24,30,34,32,0.04307692307692297
31,38,33.2,32,34,34,0.05243589743589734
32,40,35.36,32,34,36,0.0703846153846152
33,40,37.52,34,34,40,0.08038461538461528
34,40,39.28,36,40,40,0.05474358974358955
35,42,40,38,40,40,0.035384615384615355
36,42,40.8,40,42,40,0.02743589743589734
37,42,41.6,40,42,42,0.024487179487179458
38,42,41.92,40,42,42,0.022948717948717952
39,42,41.92,40,42,42,0.020769230769230783
40,44,42.16,42,42,42,0.022564102564102555
41,44,43.04,42,44,42,0.03179487179487167
42,44,43.84,42,44,44,0.03435897435897433
43,48,44.16,40,44,44,0.04371794871794866
44,48,45.2,44,44,44,0.05397435897435884
45,50,46.8,44,46,48,0.05999999999999996
46,52,48.32,46,48,50,0.05858974358974357
47,54,49.76,46,50,48,0.07128205128205109
48,54,51.44,48,52,54,0.06743589743589729
49,56,53.44,48,54,54,0.05038461538461516
50,56,54.32,50,54,54,0.03166666666666656
51,56,55.44,54,56,56,0.020769230769230707
52,58,56,54,56,56,0.025384615384615346
53,62,56.96,54,56,58,0.03089743589743577
54,64,59.04,56,56,58,0.04769230769230764
55,64,60.96,58,62,62,0.044230769230769115
56,66,62.48,58,62,58,0.02820512820512813
57,66,63.84,62,62,62,0.018974358974358937
58,66,64.48,64,64,64,0.023846153846153777
59,66,65.04,64,66,66,0.03307692307692305
60,68,65.92,64,64,66,0.04217948717948718
61,70,67.04,64,66,66,0.05141025641025637
62,74,68.16,64,68,66,0.053589743589743485
63,74,69.36,68,70,68,0.06038461538461524
64,74,71.36,68,70,74,0.05102564102564082
65,74,72.88,66,74,74,0.04666666666666655
66,76,74,72,74,74,0.04487179487179476
67,76,74.16,72,74,76,0.04858974358974346
68,76,75.12,74,74,74,0.04846153846153835
69,78,75.76,74,76,76,0.043076923076923
70,78,76.16,74,78,76,0.04884615384615373
71,78,76.56,74,78,78,0.039999999999999925
72,80,77.68,76,76,76,0.017179487179487137
73,80,78.56,76,80,78,0.017307692307692253
74,80,79.36,78,78,80,0.01371794871794871
75,80,80,80,80,80,0.008461538461538467
76,80,80,80,80,80,0.0058974358974359
77,80,79.92,78,80,80,0.004615384615384618
78,82,79.84,78,80,80,0.006153846153846158
79,82,80.16,80,80,80,0.00294871794871795
80,82,80.24,80,80,80,0.004230769230769233
81,82,80.64,80,80,82,0.008717948717948724
82,82,81.6,80,80,82,0.008846153846153853
83,84,82,80,82,82,0.006153846153846158
84,84,82.32,80,82,82,0.007948717948717954
85,84,82.96,82,82,82,0.011538461538461548
86,86,83.92,82,84,84,0.004615384615384618
87,86,84.08,84,84,84,0.001538461538461539
88,86,84.16,84,84,84,0.0030769230769230787
89,88,84.88,82,84,86,0.01743589743589739
90,88,85.76,84,84,86,0.025384615384615297
91,88,87.04,86,86,86,0.032179487179487085
92,88,87.92,86,88,88,0.01615384615384616
93,90,87.92,86,88,88,0.020769230769230734
94,90,88.16,86,88,88,0.019102564102564105
95,90,88.88,88,88,88,0.026923076923076838
96,90,89.52,88,90,88,0.03025641025641015
97,92,90,88,90,90,0.02999999999999989
98,92,90.56,90,90,92,0.032307692307692225
99,94,91.6,90,92,92,0.03166666666666653
100,94,92.72,90,94,92,0.03461538461538449
101,94,93.36,92,92,94,0.029102564102564007
102,96,93.84,92,94,94,0.02538461538461531
103,96,94.32,92,94,94,0.025384615384615346
104,98,95.04,92,96,94,0.025128205128205013
105,96,95.84,94,96,96,0.009102564102564109
106,98,96.08,94,96,96,0.01333333333333334
107,98,96.72,96,96,98,0.019999999999999924
108,100,97.6,96,98,98,0.028717948717948635
