Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,66,54.33,43,58,61,0.9611480000000009
1,68,59.12,47,58,62,0.8969280000000068
2,67,63.17,55,63,66,0.7435080000000168
3,69,65.41,59,67,65,0.5620600000000099
4,69,66.63,62,66,66,0.43417999999999585
5,70,67.59,65,68,68,0.43005999999999467
6,72,68.54,65,69,68,0.355703999999999
7,73,69.45,67,70,69,0.33557200000000237
8,73,70.32,67,70,72,0.3544720000000021
9,74,71.28,68,72,72,0.36487200000000064
10,75,72.13,69,73,72,0.34597200000000017
11,77,72.99,69,73,72,0.26096399999999986
12,77,73.74,71,74,75,0.24624799999999863
13,77,74.69,72,77,75,0.258628000000001
14,77,75.51,73,76,75,0.26311599999999946
15,78,76.34,75,77,76,0.2303519999999975
16,80,76.91,75,77,77,0.18643600000000027
17,80,77.43,74,80,77,0.16465199999999935
18,81,78.13,75,79,77,0.14633199999999996
19,81,78.8,75,79,78,0.12946400000000105
20,82,79.5,78,80,81,0.10559200000000146
21,82,80.13,78,81,80,0.09191600000000089
22,84,80.66,79,80,82,0.10635200000000125
23,84,81.36,79,82,82,0.10975200000000164
24,85,82.08,80,81,83,0.10616000000000131
25,85,82.71,81,82,82,0.10571600000000085
26,85,83.5,81,84,82,0.08631200000000137
27,85,84.17,82,85,84,0.07130800000000126
28,86,84.58,82,85,85,0.055464000000001304
29,86,84.95,83,86,85,0.04073200000000093
30,87,85.25,84,86,85,0.03520400000000111
31,87,85.52,84,86,85,0.03180800000000049
32,87,86,84,86,86,0.023040000000000567
33,87,86.3,85,86,87,0.02431200000000034
34,88,86.58,85,87,87,0.027200000000000488
35,89,86.95,85,87,87,0.03165200000000043
36,90,87.3,86,87,87,0.038360000000000866
37,90,87.82,86,88,87,0.04370400000000128
38,90,88.41,87,88,88,0.04254000000000109
39,91,89.22,87,88,89,0.035336000000000936
40,91,89.81,88,89,89,0.024268000000000116
41,91,90.14,89,90,91,0.017960000000000316
42,92,90.47,89,90,91,0.016548000000000236
43,92,90.87,90,90,91,0.010244000000000308
44,92,90.99,90,91,91,0.012996000000000493
45,92,91.24,89,92,91,0.016592000000000193
46,92,91.63,90,91,92,0.016604000000000087
47,93,91.9,91,92,92,0.012648000000000229
48,93,91.98,90,92,92,0.012504000000000126
49,93,92.08,91,92,92,0.018792000000000263
50,94,92.32,91,93,92,0.02161600000000042
51,94,92.63,91,92,93,0.02409200000000028
52,95,93,92,93,93,0.021144000000000576
53,95,93.27,92,93,94,0.02486000000000045
54,95,93.87,92,95,93,0.021532000000000148
55,95,94.47,93,95,93,0.016644000000000162
56,95,94.87,94,95,95,0.0057159999999999034
57,95,94.88,94,95,95,0.004743999999999918
58,95,94.93,94,95,95,0.00276399999999996
59,95,94.93,94,95,95,0.003563999999999945
60,95,94.91,94,95,95,0.004355999999999929
61,96,94.91,94,95,95,0.006627999999999923
62,96,94.98,94,95,95,0.00539999999999991
63,96,95.03,94,95,95,0.007708000000000003
64,96,95.17,94,95,95,0.008836000000000127
65,96,95.39,94,96,95,0.011836000000000565
66,96,95.7,94,95,96,0.00967200000000029
67,96,95.91,95,96,96,0.003539999999999944
68,96,95.93,95,96,96,0.002771999999999959
69,97,95.94,94,96,96,0.003167999999999955
70,97,95.96,95,96,96,0.0031599999999999515
71,97,95.97,95,96,96,0.005067999999999913
72,97,96.09,95,97,96,0.0074760000000000364
73,97,96.21,95,96,96,0.01306000000000058
74,97,96.61,96,96,97,0.011948000000000555
75,97,96.9,96,97,97,0.003927999999999936
76,97,96.89,95,97,97,0.004355999999999929
77,98,96.93,96,97,97,0.0043479999999999335
78,98,96.94,96,97,97,0.003951999999999936
79,98,96.95,96,97,97,0.005099999999999912
80,98,97,96,97,97,0.007552
81,98,97.09,96,97,97,0.010748000000000339
82,98,97.21,96,98,97,0.014092000000000238
83,98,97.67,96,98,97,0.011212000000000416
84,98,97.89,96,98,98,0.004355999999999929
85,99,97.93,97,98,98,0.0035639999999999426
86,99,97.98,97,98,98,0.0031439999999999515
87,99,98.01,97,98,98,0.007155999999999975
88,99,98.12,97,98,99,0.010824000000000368
89,99,98.41,97,98,99,0.012332000000000587
90,99,98.73,97,98,99,0.00985200000000009
91,99,98.95,98,99,99,0.001971999999999976
92,99,98.94,98,99,99,0.0023759999999999675
93,99,98.95,98,99,99,0.0019799999999999766
94,99,98.91,98,99,99,0.0035559999999999433
95,99,98.95,98,99,99,0.001979999999999976
96,99,98.91,98,99,99,0.0035479999999999444
97,100,98.95,97,99,99,0.0027719999999999655
