Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,2,0.08,0,0,0,0.001538461538461539
1,2,0.56,0,0,0,0.008846153846153853
2,2,1.28,0,2,0,0.011153846153846162
3,2,2,2,2,2,0
4,2,2,2,2,2,0
5,4,2.08,2,2,2,0.001538461538461539
6,4,2.24,2,2,2,0.004230769230769233
7,6,2.88,2,2,2,0.011153846153846162
8,6,3.6,2,4,4,0.012948717948717955
9,6,4.4,4,4,4,0.009487179487179495
10,6,5.12,4,4,6,0.01576923076923075
11,8,5.84,4,6,6,0.014487179487179497
12,8,6.16,6,6,6,0.010641025641025648
13,8,6.16,6,6,6,0.01064102564102565
14,8,6.4,6,8,6,0.015641025641025614
15,8,6.64,6,6,8,0.012564102564102573
16,8,7.52,6,6,6,0.00833333333333334
17,10,8.08,8,8,8,0.001538461538461539
18,10,8.32,8,8,8,0.005384615384615388
19,10,8.8,8,8,8,0.010769230769230777
20,10,9.6,8,10,8,0.011025641025641034
21,12,10.08,10,10,10,0.012307692307692316
22,12,10.08,10,10,10,0.012307692307692316
23,12,10.16,10,10,10,0.01576923076923078
24,12,10.4,10,10,10,0.012820512820512829
25,12,11.04,10,12,10,0.01589743589743587
26,12,11.76,10,12,12,0.01769230769230768
27,14,12,10,12,12,0.01615384615384616
28,14,12.32,12,14,12,0.018717948717948702
29,14,12.96,10,12,12,0.014615384615384612
30,14,13.6,12,14,14,0.007179487179487185
31,14,14,14,14,14,0
32,16,14.08,14,14,14,0.001538461538461539
33,16,14.4,14,14,14,0.006410256410256414
34,16,15.12,14,14,14,0.009871794871794879
35,16,15.68,14,16,14,0.007948717948717954
36,16,16,16,16,16,0.003076923076923078
37,16,16,16,16,16,0
38,16,15.92,14,16,16,0.001538461538461539
39,16,16,16,16,16,0
40,16,16,16,16,16,0
41,16,16,16,16,16,0
42,16,16,16,16,16,0
43,16,16,16,16,16,0
44,16,16,16,16,16,0
45,16,16,16,16,16,0
46,18,16.08,16,16,16,0.001538461538461539
47,18,16.08,16,16,16,0.001538461538461539
48,18,16.32,16,16,16,0.005384615384615388
49,18,16.96,16,16,18,0.010000000000000007
50,18,17.76,16,18,16,0.004230769230769233
51,18,18,18,18,18,0
52,18,18,18,18,18,0
53,18,18,18,18,18,0
54,18,18,18,18,18,0
55,18,18,18,18,18,0
56,18,18,18,18,18,0
57,18,18,18,18,18,0
58,20,18.08,18,18,18,0.001538461538461539
59,20,18.56,18,18,18,0.008846153846153853
60,20,19.36,18,18,20,0.010769230769230777
61,22,19.84,18,20,20,0.005769230769230773
62,22,20.08,20,20,20,0.001538461538461539
63,22,20.32,20,22,20,0.005384615384615388
64,22,20.88,20,22,22,0.009871794871794879
65,24,21.76,20,22,22,0.006923076923076928
66,24,22.32,22,22,24,0.005769230769230773
67,24,22.88,22,24,22,0.012179487179487188
68,26,23.6,22,24,24,0.018846153846153783
69,26,24.56,22,26,24,0.01897435897435893
70,26,25.52,24,26,24,0.013205128205128208
71,26,26,26,26,26,0.012820512820512829
72,26,26,26,26,26,0.0058974358974359
73,26,26,26,26,26,0.008461538461538467
74,26,26,26,26,26,0.010769230769230776
75,26,26,26,26,26,0.008461538461538467
76,28,26,24,26,26,0.0030769230769230787
77,28,26.32,26,26,26,0.005384615384615388
78,28,26.88,26,26,28,0.009871794871794879
79,28,27.76,26,28,28,0.004230769230769233
80,28,28,28,28,28,0
81,28,28,28,28,28,0
82,28,28,28,28,28,0
83,32,28.16,28,28,28,0.003076923076923078
84,32,28.48,28,28,28,0.008461538461538467
85,32,29.44,28,28,32,0.018461538461538467
86,32,30.96,28,32,32,0.01769230769230765
87,32,31.92,30,32,32,0.001538461538461539
88,32,32,32,32,32,0
89,32,32,32,32,32,0
90,32,32,32,32,32,0
91,32,32,32,32,32,0
92,32,32,32,32,32,0
93,32,32,32,32,32,0
94,32,32,32,32,32,0
95,32,32,32,32,32,0
96,32,32,32,32,32,0
97,34,32.08,32,32,32,0.001538461538461539
98,34,32.4,32,32,32,0.006923076923076928
99,34,32.88,32,32,34,0.012948717948717955
100,34,33.52,32,34,34,0.013461538461538466
101,34,34,34,34,34,0.008461538461538467
102,34,34,34,34,34,0.010769230769230776
103,36,34,32,34,34,0.014615384615384608
104,36,34.16,32,34,34,0.019102564102564067
105,36,34.96,32,36,36,0.013846153846153838
106,36,36,36,36,36,0
107,38,36.08,36,36,36,0.001538461538461539
108,36,36,36,36,36,0
109,36,36,36,36,36,0
110,38,36.08,36,36,36,0.001538461538461539
111,38,36.16,36,36,36,0.00294871794871795
112,38,36.56,36,36,36,0.008076923076923082
113,40,37.52,36,38,38,0.009615384615384623
114,40,38.16,36,38,38,0.00833333333333334
115,40,38.72,38,38,38,0.010256410256410263
116,40,39.28,38,40,40,0.011153846153846162
117,42,39.92,38,40,40,0.007179487179487185
118,40,40,40,40,40,0.003076923076923078
119,42,40,38,40,40,0.0030769230769230787
120,42,40.32,40,40,40,0.005384615384615388
121,42,40.4,40,40,40,0.006410256410256414
122,44,41.44,40,40,42,0.010256410256410263
123,44,42.08,42,42,42,0.001538461538461539
124,42,42,42,42,42,0
125,42,41.92,40,42,42,0.001538461538461539
126,42,42,42,42,42,0
127,42,42,42,42,42,0
128,44,42.08,42,42,42,0.001538461538461539
129,44,42.32,42,42,42,0.005769230769230773
130,44,42.88,42,42,44,0.011538461538461548
131,44,43.84,42,44,44,0.0030769230769230787
132,44,44,44,44,44,0
133,44,44,44,44,44,0
134,46,44.08,44,44,44,0.001538461538461539
135,46,44.16,44,44,44,0.00294871794871795
136,46,44.64,44,44,44,0.009615384615384623
137,46,45.36,44,46,46,0.010769230769230777
138,48,45.92,44,46,46,0.0044871794871794895
139,46,46,46,46,46,0
140,46,46,46,46,46,0
141,46,46,46,46,46,0
142,46,45.92,44,46,46,0.001538461538461539
143,48,46.08,46,46,46,0.001538461538461539
144,48,46.4,46,46,46,0.006410256410256414
145,48,47.04,46,48,48,0.010000000000000007
146,48,47.92,46,48,48,0.001538461538461539
147,48,48,48,48,48,0
148,48,48,48,48,48,0
149,48,48,48,48,48,0
150,48,48,48,48,48,0
151,50,48.08,48,48,48,0.001538461538461539
152,50,48.08,48,48,48,0.001538461538461539
153,50,48.32,48,48,48,0.005384615384615388
154,52,48.72,46,48,48,0.012307692307692316
155,52,50.08,48,50,52,0.007179487179487185
156,52,50.56,50,50,50,0.008076923076923082
157,52,51.2,50,52,50,0.009615384615384623
158,54,52,50,52,52,0.0030769230769230787
159,54,52.16,52,52,52,0.00294871794871795
160,54,52.56,52,54,52,0.008846153846153853
161,56,53.28,52,52,54,0.012820512820512829
162,56,54.08,52,54,54,0.011794871794871804
163,56,54.96,54,54,56,0.010000000000000007
164,58,55.84,54,56,54,0.008461538461538468
165,58,56.48,56,56,56,0.008461538461538468
166,60,57.44,56,58,58,0.01794871794871792
167,60,57.92,56,60,58,0.01679487179487177
168,60,58.32,56,58,58,0.019230769230769197
169,60,59.12,58,58,60,0.016153846153846147
170,60,59.84,58,60,60,0.00833333333333334
171,62,60,58,60,60,0.008461538461538468
172,62,60.32,60,60,60,0.005384615384615388
173,62,60.88,60,62,62,0.009871794871794879
174,62,61.44,60,62,62,0.008076923076923082
175,62,61.84,60,62,62,0.00294871794871795
176,62,62,62,62,62,0
177,62,62,62,62,62,0
178,62,62,62,62,62,0
179,62,62,62,62,62,0
180,62,62,62,62,62,0
181,62,62,62,62,62,0
182,62,62,62,62,62,0
183,62,62,62,62,62,0
184,62,62,62,62,62,0
185,62,62,62,62,62,0
186,62,62,62,62,62,0
187,62,62,62,62,62,0
188,62,62,62,62,62,0
189,62,62,62,62,62,0
190,64,62.08,62,62,62,0.001538461538461539
191,64,62.24,62,62,62,0.0044871794871794895
192,64,62.56,62,62,62,0.009615384615384623
193,64,62.96,62,64,64,0.014487179487179477
194,64,63.76,62,64,64,0.009358974358974365
195,64,64,64,64,64,0.008461538461538467
196,64,64,64,64,64,0.003076923076923078
197,66,64.08,64,64,64,0.004615384615384618
198,66,64.16,62,64,64,0.008846153846153853
199,66,64.64,64,64,66,0.008717948717948724
200,66,65.04,64,64,66,0.010000000000000007
201,66,66,66,66,66,0
202,66,66,66,66,66,0
203,66,66,66,66,66,0
204,66,66,66,66,66,0
205,66,66,66,66,66,0
206,66,66,66,66,66,0
207,66,66,66,66,66,0
208,66,66,66,66,66,0
209,66,66,66,66,66,0
210,66,66,66,66,66,0
211,66,66,66,66,66,0
212,66,66,66,66,66,0
213,66,66,66,66,66,0
214,66,66,66,66,66,0
215,66,66,66,66,66,0
216,66,66,66,66,66,0
217,66,65.92,64,66,66,0.001538461538461539
218,66,66,66,66,66,0
219,66,66,66,66,66,0
220,66,66,66,66,66,0
221,66,66,66,66,66,0
222,66,66,66,66,66,0
223,68,66.08,66,66,66,0.001538461538461539
224,68,66.24,66,66,68,0.004230769230769233
225,68,66.4,66,66,68,0.006410256410256414
226,68,66.88,66,66,68,0.009871794871794879
227,68,67.84,66,68,68,0.00294871794871795
228,68,68,68,68,68,0
229,68,68,68,68,68,0
230,68,68,68,68,68,0
231,68,68,68,68,68,0
232,68,68,68,68,68,0
233,68,68,68,68,68,0
234,68,68,68,68,68,0
235,68,67.92,66,68,68,0.001538461538461539
236,68,68,68,68,68,0
237,68,68,68,68,68,0
238,68,68,68,68,68,0
239,68,68,68,68,68,0
240,68,68,68,68,68,0
241,68,68,68,68,68,0
242,68,68,68,68,68,0
243,68,68,68,68,68,0
244,68,68,68,68,68,0
